city,state_id,lat,lng,population,timezone,military
Hoopa,CA,41.0802,-123.6972,3201,America/Los_Angeles,False
Millersburg,OH,40.5534,-81.9171,3200,America/New_York,False
Cutchogue,NY,41.0167,-72.4872,3200,America/New_York,False
Springdale,MD,38.9383,-76.8423,3199,America/New_York,False
Port Washington North,NY,40.8434,-73.7014,3199,America/New_York,False
Ingram,PA,40.4449,-80.0684,3198,America/New_York,False
Lake Panasoffkee,FL,28.7878,-82.1318,3197,America/New_York,False
Mannford,OK,36.1298,-96.3348,3194,America/Chicago,False
Bethel Acres,OK,35.3048,-97.037,3193,America/Chicago,False
Walkerton,IN,41.4656,-86.4825,3192,America/Indiana/Indianapolis,False
San Antonio Heights,CA,34.1571,-117.6592,3191,America/Los_Angeles,False
Springtown,TX,32.9693,-97.6803,3190,America/Chicago,False
Bamberg,SC,33.2995,-81.0323,3189,America/New_York,False
Athens,PA,41.9515,-76.5186,3189,America/New_York,False
Lake Orion,MI,42.7827,-83.2455,3189,America/Detroit,False
Burgettstown,PA,40.3813,-80.3926,3187,America/New_York,False
Chattanooga Valley,GA,34.9241,-85.3431,3186,America/New_York,False
Glenville,WV,38.9379,-80.8339,3186,America/New_York,False
Capitanejo,PR,18.0132,-66.5359,3186,America/Puerto_Rico,False
Tallapoosa,GA,33.7335,-85.2859,3185,America/New_York,False
Beaver,UT,38.2759,-112.6383,3185,America/Denver,False
Superior,AZ,33.2851,-111.1109,3185,America/Phoenix,False
Malabar,FL,27.9885,-80.5781,3185,America/New_York,False
Georgetown,IL,39.9774,-87.6354,3185,America/Chicago,False
South Hempstead,NY,40.6814,-73.6233,3184,America/New_York,False
Lutcher,LA,30.0646,-90.7124,3183,America/Chicago,False
Elgin,OK,34.7848,-98.301,3183,America/Chicago,False
Terra Bella,CA,35.9567,-119.0328,3182,America/Los_Angeles,False
Waynesville,OH,39.5329,-84.0903,3181,America/New_York,False
Sparta,GA,33.2767,-82.9704,3181,America/New_York,False
Chandler,TX,32.3065,-95.4781,3180,America/Chicago,False
Laguna Vista,TX,26.1075,-97.2967,3180,America/Chicago,False
North Middletown,NJ,40.439,-74.1187,3179,America/New_York,False
Jackson,MN,43.6288,-94.9886,3179,America/Chicago,False
Angwin,CA,38.5776,-122.4513,3179,America/Los_Angeles,False
Macungie,PA,40.5165,-75.5545,3178,America/New_York,False
Loma Rica,CA,39.3204,-121.4038,3178,America/Los_Angeles,False
Colonial Heights,TN,36.4852,-82.507,3177,America/New_York,False
Acushnet Center,MA,41.685,-70.9065,3177,America/New_York,False
Frisco,CO,39.5792,-106.0916,3174,America/Denver,False
Hideaway,TX,32.489,-95.4578,3174,America/Chicago,False
Red Oaks Mill,NY,41.6522,-73.8746,3174,America/New_York,False
Union City,PA,41.897,-79.8437,3174,America/New_York,False
Saddle River,NJ,41.0273,-74.0956,3173,America/New_York,False
San Saba,TX,31.1965,-98.7244,3173,America/Chicago,False
Breckenridge,MN,46.2662,-96.585,3172,America/Chicago,False
Ingalls Park,IL,41.5203,-88.0346,3171,America/Chicago,False
